contour_type,layer,channel,n_images,mean_contour_mean_activation,sem_contour_mean_activation,mean_background_mean_activation,sem_background_mean_activation,mean_contour_preference_ratio,sem_contour_preference_ratio,mean_activation_on_contour_pct,sem_activation_on_contour_pct,mean_contour_area_pct,mean_contour_enrichment,sem_contour_enrichment,mean_dice_top_activation,sem_dice_top_activation,rank_mean_contour_enrichment
C,h1_exc,91,25,0.9825856,0.009954053,0.68018997,0.006861428,1.4460405,0.0133453235,2.3731542,0.021383831,1.6533203125,1.435386763135936,0.012933870624168566,0.09988435431148923,0.003279937208894475,67
C,h1_exc,47,25,2.605908,0.02298606,1.8051981,0.007778657,1.443525,0.010935691,2.3691604,0.017515307,1.6533203125,1.4329711005416426,0.01059401869366654,0.07954412134410496,0.0018283524506225626,68
C,h1_exc,46,25,1.5820276,0.021624403,1.104233,0.010397128,1.4343411,0.02040288,2.354255,0.032656424,1.6533203125,1.4239557905419036,0.01975202465899773,0.09903293388075167,0.0023652603003473135,69
C,h1_exc,108,25,3.4366674,0.027627895,2.4131575,0.016381208,1.4242913,0.007557839,2.33837,0.012114487,1.6533203125,1.4143478172815733,0.007327368001858127,0.13437693790318078,0.0019568684462791153,70
C,h1_exc,70,25,1.3678056,0.011841848,0.9837236,0.0034553728,1.3902807,0.010273402,2.283776,0.016492305,1.6533203125,1.3813269629977625,0.009975262781977384,0.12125701835236632,0.0011856464509517662,71
C,h1_exc,85,25,0.83875954,0.010946812,0.6060823,0.0048068217,1.3837036,0.013659581,2.2731657,0.021924585,1.6533203125,1.3749094534382322,0.013260942310126414,0.08699237408858879,0.002430360313155968,72
C,h1_exc,109,25,1.5582092,0.03358204,1.1414689,0.013567917,1.366011,0.026998365,2.2444084,0.04328482,1.6533203125,1.3575157275393024,0.026180539173690585,0.07132489734344144,0.0013046850263691075,73
C,h1_exc,8,25,1.175474,0.0186826,0.87010765,0.0030435068,1.3516152,0.022680547,2.2214112,0.036425013,1.6533203125,1.3436060224495565,0.02203143168981926,0.05959919870464464,0.002435739967185769,74
C,h1_exc,117,25,1.7708664,0.015191862,1.3656329,0.013403236,1.2973807,0.005761361,2.1344702,0.00927774,1.6533203125,1.2910203990597022,0.005611580249885553,0.09882445800844702,0.0010240240670697039,75
C,h1_exc,68,25,1.7786474,0.026708094,1.3908758,0.010276293,1.2810711,0.023028854,2.1078866,0.03706481,1.6533203125,1.2749414619892052,0.022418407081703746,0.06892483030246466,0.0016922115610730176,76
