filename,contour_type,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,rank_contour_enrichment
C_high_BL_0_J000_000.png,C,td_h1_exc,23,9.338299,2.5387368,3.678325,5.823573,1.6533203125,3.5223501660476284,10
C_high_BL_0_J000_000.png,C,td_h1_exc,29,9.803015,2.709576,3.617915,5.7334156,1.6533203125,3.4678189855962986,11
C_high_BL_0_J000_000.png,C,td_h1_exc,7,8.529043,2.4434445,3.490582,5.5428123,1.6533203125,3.352533850809246,12
C_high_BL_0_J000_000.png,C,td_h1_exc,6,3.3963735,0.9884556,3.4360406,5.4609337,1.6533203125,3.303010076743755,13
C_high_BL_0_J000_000.png,C,td_h1_exc,26,3.5955124,1.0502862,3.4233644,5.4418836,1.6533203125,3.29148773527845,14
C_high_BL_0_J000_000.png,C,td_h1_exc,121,3.933899,1.2298757,3.198615,5.1028457,1.6533203125,3.086422878463544,15
C_high_BL_0_J000_000.png,C,td_h1_exc,53,1.9685858,0.66068995,2.9795911,4.7700977,1.6533203125,2.8851624622450895,16
C_high_BL_0_J000_000.png,C,td_h1_exc,92,6.1882734,2.0840163,2.9693978,4.754555,1.6533203125,2.875761678283196,17
C_high_BL_0_J000_000.png,C,td_h1_exc,80,5.37928,1.8396327,2.9241054,4.685432,1.6533203125,2.8339529209681467,18
C_high_BL_0_J000_000.png,C,td_h1_exc,90,2.9232783,1.0067408,2.9037051,4.6542645,1.6533203125,2.8151014577958424,19
C_high_BL_0_J000_000.png,C,td_h1_exc,105,4.294414,1.4850887,2.8916886,4.635897,1.6533203125,2.803992122087047,20
C_high_BL_0_J000_000.png,C,td_h1_exc,118,1.2345123,0.4300171,2.8708446,4.604018,1.6533203125,2.784710348447765,21
C_high_BL_0_J000_000.png,C,td_h1_exc,57,3.3535156,1.175085,2.8538494,4.5780115,1.6533203125,2.7689803666320976,22
C_high_BL_0_J000_000.png,C,td_h1_exc,93,1.7426028,0.61857057,2.8171449,4.5217934,1.6533203125,2.7349771873856077,23
C_high_BL_0_J000_000.png,C,td_h1_exc,69,0.91430676,0.33849484,2.701095,4.3436136,1.6533203125,2.627206334707565,24
C_high_BL_0_J000_000.png,C,td_h1_exc,84,2.292687,0.8646759,2.6514986,4.267261,1.6533203125,2.5810249654690223,25
C_high_BL_0_J000_000.png,C,td_h1_exc,45,3.3852866,1.3149986,2.5743651,4.148274,1.6533203125,2.509056405102488,26
C_high_BL_0_J000_000.png,C,td_h1_exc,20,3.2769136,1.3335732,2.4572432,3.967033,1.6533203125,2.399433948404339,27
C_high_BL_0_J000_000.png,C,td_h1_exc,22,3.3853934,1.463489,2.3132346,3.743245,1.6533203125,2.264077224151048,28
C_high_BL_0_J000_000.png,C,td_h1_exc,51,1.2018695,0.528366,2.274691,3.6831708,1.6533203125,2.2277418025511957,29
C_high_BL_0_J000_000.png,C,td_h1_exc,1,2.7923522,1.2346083,2.2617314,3.6629555,1.6533203125,2.21551472675207,30
C_high_BL_0_J000_000.png,C,td_h1_exc,43,1.2665124,0.58208495,2.1758206,3.5287297,1.6533203125,2.1343291007664473,31
C_high_BL_0_J000_000.png,C,td_h1_exc,18,1.210806,0.5649108,2.1433578,3.4779124,1.6533203125,2.103592618238607,32
C_high_BL_0_J000_000.png,C,td_h1_exc,76,0.8107012,0.38880113,2.0851307,3.3866308,1.6533203125,2.0483815068717948,33
C_high_BL_0_J000_000.png,C,td_h1_exc,65,2.0476127,0.9907601,2.0667088,3.357715,1.6533203125,2.030891924413344,34
C_high_BL_0_J000_000.png,C,td_h1_exc,62,3.882759,1.8814483,2.0637076,3.353002,1.6533203125,2.028041405981457,35
C_high_BL_0_J000_000.png,C,td_h1_exc,2,1.7943598,0.8712294,2.0595722,3.3465078,1.6533203125,2.0241133809110776,36
