contour_type,layer,channel,mean_activation_on_contour_pct_full_td,mean_activation_on_contour_pct_no_td,mean_contour_enrichment_full_td,mean_contour_enrichment_no_td,mean_contour_preference_ratio_full_td,mean_contour_preference_ratio_no_td,mean_dice_top_activation_full_td,mean_dice_top_activation_no_td,td_effect_contour_preference_ratio,td_effect_activation_on_contour_pct,td_effect_contour_enrichment,td_effect_dice_top_activation
C,h1_exc,100,1.1854495,1.6483673,0.7170113481301632,0.9970041765182309,0.71363664,0.9969556,0.020118997737350104,0.03655074164079732,-0.28331894,-0.4629178,-0.2799928283880677,-0.01643174390344722
C,h1_exc,101,1.8889009,1.4927571,1.142489347808607,0.9028844013796301,1.145421,0.90141886,0.03567250481854046,0.026367216961345537,0.24400216,0.3961438,0.23960494642897678,0.009305287857194922
C,h1_exc,102,2.918055,1.642979,1.76496662584273,0.9937451025245423,1.7880784,0.99364203,0.13208413642828115,0.02400737450764769,0.7944364,1.275076,0.7712215233181876,0.10807676192063347
C,h1_exc,103,0.91239494,1.4445581,0.5518561114546624,0.8737315248208738,0.5477614,0.8718823,0.0068582747163589905,0.018422860973754777,-0.32412094,-0.5321632,-0.3218754133662114,-0.011564586257395787
C,h1_exc,104,1.1926808,1.9560063,0.7213851800357447,1.1830776211990388,0.7180369,1.1867328,0.024885498415234387,0.04577558032343436,-0.46869588,-0.76332545,-0.4616924411632941,-0.02089008190819997
C,h1_exc,105,6.030321,1.9872229,3.64740015283188,1.201958782138625,3.8187695,1.206058,0.2387530377941517,0.05161484957676057,2.6127114,4.0430984,2.4454413706932545,0.18713818821739112
C,h1_exc,106,0.91341734,1.642052,0.5524745457553186,0.9931844702830278,0.54836273,0.9930723,0.0038347400549073023,0.027728054454508953,-0.44470954,-0.7286347,-0.4407099245277092,-0.02389331439960165
C,h1_exc,107,0.74272865,1.6070595,0.44923455657800176,0.9720194019305353,0.44514203,0.97156554,0.0010793372880704428,0.03280985502385585,-0.5264235,-0.8643308,-0.5227848453525334,-0.031730517735785405
C,h1_exc,108,2.33837,1.5107062,1.4143478172815733,0.9137407825990368,1.4242913,0.91241914,0.13437693790318078,0.02013240593310975,0.5118721,0.8276639,0.5006070346825365,0.11424453197007103
C,h1_exc,109,2.2444084,1.4526459,1.3575157275393024,0.8786233645819679,1.366011,0.8768357,0.07132489734344144,0.022338054135571658,0.48917532,0.7917625,0.4788923629573345,0.04898684320786978
