condition,filename,contour_type,contrast,jitter,quadrant,position,layer,channel,contour_mean_activation,background_mean_activation,contour_preference_ratio,activation_on_contour_pct,contour_area_pct,contour_enrichment,dice_top_activation,top_activation_percentile
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,114,0.9332123,0.9465686,0.98588973,1.6303716,1.6533203125,0.986119597273116,0.014581412888615954,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,115,0.777799,0.55197936,1.4091089,2.3140566,1.6533203125,1.3996420435961552,0.06335372496433138,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,116,1.1229795,1.3259267,0.8469394,1.4038147,1.6533203125,0.8490881375612965,0.04190061174889642,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,117,1.8062559,1.4173514,1.2743883,2.0974565,1.6533203125,1.2686328394361783,0.0951902128371919,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,118,2.9630847,0.9516457,3.1136427,4.9740305,1.6533203125,3.008509861639314,0.2036369730996366,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,119,0.6655166,0.5254509,1.2665629,2.0848463,1.6533203125,1.2610056440913628,0.06536495432827841,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,120,1.1594594,0.6673982,1.7372826,2.8376942,1.6533203125,1.7163607859122656,0.14598173133315512,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,121,5.0274267,2.200217,2.2849686,3.6991975,1.6533203125,2.2374354687377647,0.17363613508742676,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,122,0.68282646,0.6841349,0.99808747,1.6502106,1.6533203125,0.9981191161295838,0.03486130897508182,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,123,2.4134479,1.1379427,2.120887,3.4427056,1.6533203125,2.0822980183600226,0.1766529791333473,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,124,0.4074636,1.2133868,0.33580688,0.5613607,1.6533203125,0.33953536358334047,0.0,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,125,1.4813874,1.0502524,1.410506,2.3162975,1.6533203125,1.4009974350435832,0.10776837341816159,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,126,0.9147446,0.9565049,0.9563408,1.5822797,1.6533203125,0.9570315326233002,0.02983323556521425,90
full_td,C_high_BL_0_J000_000.png,C,high,0,BL,0,h1_exc,127,0.765059,0.7109427,1.0761191,1.7769333,1.6533203125,1.0747665096919394,0.06737618369222544,90
